100
0 0 0  8 4 5
0 4 0  7 3 3
0 7 0  10 3 3
0 4 3  8 6 2
0 0 5  10 4 5
0 4 5  9 3 5
0 7 5  10 1 5
0 8 5  10 2 4
0 8 9  7 2 1
0 0 10  10 4 4
0 4 10  5 6 3
5 4 10  3 3 4
5 7 10  5 3 4
0 0 14  10 5 5
0 5 14  10 1 2
0 6 14  9 3 2
0 5 16  10 4 3
0 0 19  5 10 2
5 0 19  5 9 2
0 0 21  2 7 8
2 0 21  7 10 5
2 0 26  7 1 8
9 0 26  1 1 7
2 1 26  8 2 4
2 3 26  7 7 2
2 3 28  8 6 2
0 9 28  8 1 2
0 1 30  1 4 9
1 1 30  9 9 5
1 0 35  4 2 1
1 2 35  9 4 1
0 6 35  10 3 1
1 0 36  9 7 3
0 7 36  8 2 3
0 0 39  7 8 2
0 0 41  7 3 4
0 3 41  7 7 4
7 3 41  3 7 3
7 0 44  2 4 1
0 0 45  5 2 3
0 2 45  10 8 7
0 0 52  1 10 7
1 0 52  3 2 8
4 0 52  4 2 4
8 0 52  2 1 6
8 1 52  1 1 7
1 2 52  3 6 7
4 2 52  6 6 8
1 8 52  2 2 7
3 8 52  6 2 9
0 0 61  2 9 3
2 0 61  7 9 1
2 0 62  1 10 4
3 0 62  2 3 3
5 0 62  4 4 3
3 4 62  4 6 2
3 4 64  6 6 2
0 0 66  10 6 2
0 6 66  3 4 2
3 6 66  6 3 2
0 0 68  10 9 5
0 0 73  9 10 1
0 0 74  2 10 7
2 0 74  8 3 1
2 3 74  2 2 1
2 0 75  1 9 4
3 0 75  4 6 5
7 0 75  2 5 3
7 5 75  2 1 5
3 6 75  7 3 5
2 0 80  7 10 2
0 0 82  3 10 7
3 0 82  2 7 5
5 0 82  4 5 1
5 5 82  5 5 2
5 0 84  4 3 3
5 3 84  5 5 3
3 0 87  3 10 2
6 0 87  2 10 2
8 0 87  2 3 2
0 0 89  8 5 2
0 5 89  10 4 2
0 0 91  8 3 7
0 3 91  10 7 7
0 0 98  2 1 3
0 1 98  2 9 8
2 1 98  8 9 7
2 0 105  8 10 3
0 0 108  10 6 6
0 6 108  2 2 9
2 6 108  6 3 6
2 0 114  6 10 1
2 0 115  8 10 2
0 0 117  8 1 10
0 1 117  10 9 6
0 1 123  10 9 5
0 0 128  3 8 6
3 0 128  6 6 6
3 6 128  7 4 2
3 6 130  7 4 4
