90
0 0 0  1 10 10
1 0 0  5 7 4
6 0 0  4 10 4
0 10 0  10 7 2
0 10 2  10 8 2
1 0 4  8 6 6
1 6 4  9 6 6
0 12 4  8 4 5
0 16 4  9 2 6
9 16 4  1 1 6
0 0 10  10 2 7
0 2 10  10 6 9
0 8 10  10 10 1
0 8 11  9 1 3
0 9 11  9 3 1
0 9 12  6 4 7
6 9 12  4 5 7
0 14 12  2 3 3
2 14 12  8 3 7
0 0 19  9 5 6
0 5 19  6 6 6
6 5 19  2 4 6
8 5 19  2 6 6
0 11 19  10 7 6
0 0 25  10 2 8
0 2 25  10 8 8
0 10 25  5 8 7
5 10 25  4 1 8
5 11 25  4 7 8
0 0 33  10 9 8
0 9 33  4 4 8
4 9 33  6 3 6
4 12 33  6 1 2
0 13 33  8 3 5
0 16 33  8 1 7
8 16 33  1 2 8
0 0 41  6 10 9
6 0 41  1 9 7
7 0 41  3 5 9
7 5 41  3 5 8
0 10 41  10 1 6
0 11 41  4 7 8
4 11 41  3 7 6
7 11 41  3 7 9
0 0 50  10 6 5
0 6 50  9 7 5
0 13 50  10 5 3
0 13 53  10 4 2
0 0 55  1 3 9
1 0 55  9 3 8
0 3 55  10 9 8
0 12 55  4 6 7
4 12 55  1 6 8
5 12 55  2 5 5
7 12 55  3 6 8
1 0 63  9 9 3
0 9 63  10 3 3
0 12 63  7 1 1
0 13 63  10 5 3
0 0 66  8 8 4
8 0 66  1 8 3
0 8 66  2 4 5
2 8 66  1 10 2
3 8 66  5 1 4
3 9 66  7 8 4
0 0 70  2 7 7
2 0 70  8 8 7
2 8 70  4 7 1
0 8 71  9 10 4
0 8 75  9 5 2
0 13 75  7 2 2
0 0 77  10 5 7
0 5 77  1 2 5
1 5 77  9 6 7
0 11 77  9 7 7
0 0 84  10 10 9
0 10 84  9 8 4
0 10 88  9 3 5
0 13 88  10 5 1
0 13 89  5 2 2
0 13 91  10 5 2
0 0 93  10 7 10
0 7 93  8 7 2
0 14 93  4 3 2
0 7 95  9 4 1
0 11 95  9 7 1
0 7 96  2 5 6
2 7 96  8 5 6
0 12 96  5 6 6
5 12 96  5 6 5
